kanji,hanzi,meaning_vi,meaning_en,jlpt_level,onyomi,kunyomi,stroke_count,radical_utf,radical_name_ja,radical_meaning,story,num_vocab_examples,prev_kanji,next_kanji
葵,QUỲ,Hoa thục quỳ,hollyhock,N1,キ,あおい,12,艸,くさかんむり,grass,Cô giáo Thảo (艹) cầm bát (癶) ra ngoài trời (天) hái hoa thục quỳ (葵),0,稲,廃
陥,HÃM,Vây hãm,"collapse, fall into, cave in, fall (castle), slide into",N1,カン,"おちい.る, おとしい.れる",10,阜,こざとへん,"mound, dam (阝 left)",Bồ (阝) trách móc (ク) 18 (旧) tuổi rồi nhìn anh hãm (陥) thế!,2,縄,稲
庶,THỨ,Thứ dân,"commoner, all, bastard",N1,ショ,,11,广,まだれ,house on cliff,Dưới mái hiên (广) uống cốc nước (廿) ngồi đốt lửa (灬) cùng thứ dân (庶),1,廃,遮
遮,GIÀ,"Che, chắn","intercept, interrupt, obstruct",N1,シャ,さえぎ.る,14,辵,しんにょう,walk,Thứ dân (庶) đi xa (辶) cần che chắn (遮),1,庶,誠
拭,THỨC,Lau chùi,"wipe, mop, swab",N1,"ショク, シキ","ぬぐ.う, ふ.く",9,手,てへん,hand,Lau chùi (拭) bằng tay (扌) rất hình thức (式),1,賊,或
惑,HOẶC,Mê hoặc,"beguile, delusion, perplexity",N1,ワク,まど.う,12,心,こころ,heart,Hoặc (或) là dùng trái tim (心) mê hoặc (惑),8,或,栽
或,HOẶC,Hoặc,"some, one, or, possibly, a certain",N1,"ワク, コク, イキ","あ.る, あるい, あるいは",8,戈,ほこ,"spear, halberd",Nói qua (戈) miệng (口) nhất (一) định vẫn còn nghi hoặc (或),0,拭,惑
栽,TÀI,Trồng trọt,"plantation, planting",N1,サイ,,10,木,き,tree,10 (十) cây (木) lớn lên qua (戈) tài trồng trọt (栽),3,惑,載
戴,ĐÁI,Nhận,"be crowned with, live under (a ruler), receive",N1,タイ,いただ.く,17,戈,じゅう,"spear, halberd",10 (十) lần li dị (異) qua (戈) đó nhận (戴) ra tình yêu đích thực,1,載,繊
威,UY,Uy quyền,"intimidate, dignity, majesty, menace, threaten",N1,イ,"おど.す, おど.し, おど.かす",9,女,おんな,"woman, female",Vào giờ Tuất (戌) người phụ nữ (女) thể hiện uy quyền (威) của mình,2,戌,滅
滅,DIỆT,Diệt vong,"destroy, ruin, overthrow, perish",N1,メツ,"ほろ.びる, ほろ.ぶ, ほろ.ぼす",13,水,さんずい,water,Nước (氵) vào giờ Tuất (戌) gặp lửa (火) sẽ bị diệt vong (滅),2,威,蔑
茂,MẬU,Um tùm,"overgrown, grow thick, be luxuriant",N1,モ,しげ.る,8,艸,くさかんむり,grass,Cỏ (艹) tết Mậu Thân (戊) mọc um tùm (茂),1,蔑,虚
虚,HƯ,Hư không,"void, emptiness, unpreparedness, crack, fissure, untruth",N1,"キョ, コ","むな.しい, うつ.ろ",11,虍,とらがしら,tiger stripes,Hổ (虍) không chịu xếp hàng (业) là hư (虚),1,茂,嘘
虎,HỔ,Con hổ,"tiger, drunkard",N1,コ,とら,8,虍,とらがしら,tiger stripes,Hổ (虍) con chân chạy (儿) theo hổ (虍) mẹ,0,慮,虜
虜,LỖ,Tù binh,"captive, barbarian, low epithet for the enemy",N1,"リョ, ロ","とりこ, とりく",13,虍,とらがしら,tiger stripes,Hổ (虍) bị đàn ông (男) bắt làm tù binh (虜),0,虎,虐
糾,CỦ,Xoắn,"twist, ask, investigate, verify",N1,キュウ,ただ.す,9,糸,いと,silk,Sợi tơ (糸) 4 (丩) củ (糾),0,虐,猶
鱒,TỖN,Cá hồi,salmon trout,N1,"ソン, セン, ザン",ます,23,魚,うお,fish,Cá (魚) được tôn kính (尊) là cá hồi (鱒),0,噂,旦
但,ĐÃN,Tuy nhiên,"however, but",N1,タン,ただ.し,7,人,にんべん,"man, human",Người (亻) vào dịp Tết Nguyên Đán (旦) tuy nhiên (但) không làm gì,0,旦,胆
壇,ĐÀN,"Bệ, bục","podium, stage, rostrum, terrace",N1,"ダン, タン",,16,土,つち,earth,Lập đàn (壇) ở đất (土) đầu (亠) hồi (回) vào dịp Tết Nguyên Đán (旦),0,胆,宣
恒,HẰNG,Vĩnh hằng,"constancy, always",N1,コウ,"つね, つねに",9,心,りっしんべん,heart,Trái tim (忄) 2 ngày (亘) đã đi vào cõi vĩnh hằng (恒),1,喧,垣
陵,LĂNG,Lăng mộ,"mausoleum, imperial tomb, mound, hill",N1,リョウ,みささぎ,11,阜,こざとへん,"mound, dam (阝 left)",Bồ (阝) của tiên sinh (先) sau (夂) khi chết được xây mộ (陵),0,睦,凌
睦,MỤC,Thân thiện,"intimate, friendly, harmonious",N1,"ボク, モク","むつ.まじい, むつ.む, むつ.ぶ",13,目,あみがしら,eye,Mắt (目) của tiên sinh (先) chân đất (土) nhìn rất thân thiện (睦),0,褻,陵
艦,HẠM,Chiến hạm,warship,N1,カン,,21,舟,ふね,boat,Thuyền (舟) của giám đốc (監) là chiếm hạm (艦),0,鑑,藍
鑑,GIÁM,Giám định,"specimen, take warning from, learn from",N1,カン,"かんが.みる, かがみ",23,金,かね,"metal, gold",Muốn giám định (鑑) thì cần đút tiền (金) cho giám đốc (監),2,監,艦
聴,THÍNH,Thính giác,"listen, headstrong, naughty, careful inquiry",N1,"チョウ, テイ","き.く, ゆる.す",17,耳,みみ,ear,"Tai (耳) nghe 10 (十) tiếng võng (皿), tâm (心) rất thính (聴)",1,徳,憲
徳,ĐỨC,Đạo đức,"benevolence, virtue, goodness, commanding respect",N1,トク,,14,⼻,ぎょうにんべん,"step, stride, street, to go",2 người đứng (彳) bán 10 (十) cái võng (皿) rất tận tâm (心) đạo đức (徳),0,濫,聴
懐,HOÀI,Hoài niệm,"feelings, heart, yearn, miss someone, become attached to, bosom, breast, pocket",N1,"カイ, エ","ふところ, なつ.かしい, なつ.かしむ, なつ.く, なつ.ける, なず.ける, いだ.く, おも.う",16,心,りっしんべん,heart,Hoài niệm (懐) trong tim (忄) về 10 (十) cái võng (皿) treo y phục (衣),5,憲,之
乏,PHẠP,Nghèo,"destitution, scarce, limited",N1,ボウ,とぼ、とぼしい、とぼしさ,4,,のかんむり,diagonal sweeping stroke,Tài phiệt (丿) chi (之) tiền giúp người nghèo (乏),3,之,芝
蔓,MẠN,Dây leo,"vine, tendril, influence, connections, good offices, spread, sprawl, thrive, rampant, powerful",N1,"マン, バン","はびこ.る, つる",14,艸,くさかんむり,grass,Cỏ (艹) dài miên man (曼) là dây leo (蔓),0,漫,鰻
漫,MẠN,Lãng mạn,"cartoon, involuntarily, unrestrained, in spite of oneself, corrupt",N1,マン,"みだり.に, そぞ.ろ",14,水,さんずい,water,Thủy (氵) suy nghĩ miên man (曼) về chuyện tình lãng mạn (漫),1,慢,蔓
遺,DI,Di chúc,"bequeath, leave behind, reserve",N1,イ、ユイ,のこ.す,15,⻌,しんにょう,"road, walk, to advance",Quý tộc (貴) sắp đi xa (辶) để lại di chúc (遺),5,貴,潰
憤,PHẪN,Phẫn nộ,"aroused, resent, be indignant, anger",N1,フン,いきどお.る,15,心,りっしんべん,heart,Trái tim (忄) bị tranh mất phần (賁) nên phẫn nộ (憤),1,潰,墳
墳,PHẦN,Phần mộ,"tomb, mound",N1,フン,,15,土,つち,earth,Đất (土) phần (賁) mộ (墳),0,憤,脹
脹,TRƯỚNG,Trương phình,"dilate, distend, bulge, fill out, swell",N1,チョウ,"は.れる, ふく.らむ, ふく.れる",12,肉,つき,meat,Nguyệt (月) dài (長) ngày bị trướng (脹) bụng,0,墳,髭
滑,HOẠT,Linh hoạt,"slippery, slide, slip, fail exam",N1,"カツ, コツ","すべ.る, なめ.らか",13,水,さんずい,water,Nước (氵) làm xương cốt (骨) trơn tru linh hoạt (滑),4,脊,享
醇,THUẦN,Rượu ngon,"pure sake, purity, affection",N1,"ジュン, シュン","もっぱら, こい, あつい",15,酉,ひよみのとり,"wine, alcohol",Giờ Dậu (酉) hưởng thụ (享) rượu ngon (醇),0,熟,倉
倉,THƯƠNG,Nhà kho,"godown, warehouse, storehouse, cellar, treasury",N1,ソウ,くら,10,𠆢,ひとやね,person ,Người (人) hay đến cửa (戸) khẩu (口) là thương (倉) gia,1,醇,創
没,MỘT,Chết chìm,"drown, sink, hide, fall into, disappear, die",N1,"ボツ, モツ","おぼ.れる, しず.む, ない",7,水,さんずい,water,Nước (氵) làm kẻ thù (殳) chết chìm (没),2,蒼,股
搬,"BAN, BÀN",Vận chuyển,"conveyor, carry, transport",N1,ハン,,13,手,てへん,hand,Vận chuyển (搬) bằng tay (扌) là bình thường (般),1,疫,盤
疫,DỊCH,Dịch bệnh,epidemic,N1,"エキ, ヤク",,9,疒,やまいだれ,sickness,Dịch (疫) bệnh (疒) là kẻ thù (殳) của con người,0,股,搬
穀,CỐC,Ngũ cốc,"cereals, grain",N1,コク,,14,⽲,のぎへん,grain,Binh sĩ (士) trùm khăn (冖) lên lúa (禾) để tránh kẻ thù (殳) trộm ngũ cốc (穀),1,殻,毅
毅,NGHỊ,Nghị lực,strong,N1,"キ, ギ",つよ.い,15,殳,たつ,"weapon, lance","Nghị lực (毅) dám đứng (立) lên, con lợn (豕) đuổi theo kẻ thù (殳)",0,穀,鍛
鍛,ĐOÁN,Rèn luyện,"forge, discipline, train",N1,タン,きた.える,17,金,かね,"metal, gold",Vàng (金) phải qua nhiều giai đoạn (段) rèn luyện (鍛),2,毅,刹
刹,SÁT,Chốc lạt,temple,N1,"セチ, セツ, サツ",,8,刀,き,"knife, sword",Mê (メ) cây (木) cầm đao (刂) sát phạt trong chốc lát (刹),0,鍛,壱
蛇,XÀ,Con rắn,"snake, serpent, hard drinker",N1,"ジャ, ダ, イ, ヤ",へび,11,虫,むし,insect,Con rắn (蛇) to ăn côn trùng (虫) là mãng xà (它),1,陛,舵
儒,NHO,Nho giáo,Confucian,N1,ジュ,,16,人,にんべん,"man, human",Người (亻) có nhu cầu (需) học chữ Nho (儒),0,而,濡
謡,DAO,Ca dao,"song, sing, ballad, noh chanting",N1,ヨウ,"うた.い, うた.う",16,言,げん,speech,Vừa nói (言) móng tay (爪) vừa gõ vào lon (缶) để sáng tác ca dao (謡),0,須,揺
煩,PHIỀN,Phiền não,"anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome",N1,"ハン, ボン","わずら.う, わずら.わす, うるさ.がる, うるさ.い",13,火,ひ,fire,Lửa (火) cháy giấy tờ (頁) thật phiền não (煩),1,頃,須
迭,ĐIỆT,Thay đổi,"transfer, alternation",N1,テツ,,8,辵,しんにょう,walk,Khi thất bại (失) cần đi xa (辶) để thay đổi (迭),0,淘,侯
侯,HẦU,Tước hầu,"marquis, lord, daimyo",N1,コウ,,9,人,にんべん,"man, human",Người đứng (亻) bắn 1 (ユ) mũi tên (矢) là tước hầu (侯),0,迭,喉
慶,KHÁNH,"Mừng, quốc khánh","jubilation, congratulate, rejoice, be happy",N1,ケイ,よろこ.び,15,心,まだれ,heart,Từ mái hiên (广) ra hàng rào (井) lấy khăn trùm (冖) có hình trái tim (心) để sau (夂) đó ăn mừng quốc khánh (慶),0,薦,撤
喉,HẦU,Cổ họng,"throat, voice",N1,コウ,のど,12,口,くち,"mouth, opening",Miệng (口) tước hầu (侯) bị đau cổ họng (喉),2,侯,蟹
遥,"DIÊU, DAO",Xa xưa,"far off, distant, long ago",N1,ヨウ,はる.か,12,辵,しんにょう,walk,Xa xưa (遥) mọi người đã biết dùng móng tay (爪) bật nắp lon (缶) đi xa (辶),0,揺,陶
揺,DAO,Dao động,"swing, shake, sway, rock, tremble, vibrate",N1,ヨウ,"ゆ.れる, ゆ.る, ゆ.らぐ, ゆ.るぐ, ゆ.する, ゆ.さぶる, ゆ.すぶる, うご.く",12,手,てへん,hand,Tay (扌) dùng móng (爪) bật lon (缶) tạo ra dao động,7,謡,遥
淘,ĐÀO,Đào thải,select,N1,トウ,よな.げる,11,水,さんずい,water,Nước (氵) bao (勹) quanh cái lon (缶) bị đào thải (淘),0,陶,迭
督,ĐỐC,Đốc thúc,"coach, command, urge, lead, supervise",N1,トク,,13,目,あみがしら,eye,Thúc (叔) liếc mắt (目) nhìn để đốc thúc (督),2,寂,戚
豹,BÁO,Con báo,"leopard, panther",N1,"ヒョウ, ホウ",,10,豸,むじなへん,"cat, badger",Con sâu (豸) chui vào 1 cái bao (勺) khi nhìn thấy con báo (豹),0,訃,貌
訃,PHÓ,Cáo phó,obituary,N1,フ,しらせ,9,言,げん,speech,Nói (言) to (卜) trong lễ cáo phó (訃),0,赴,豹
麓,LỘC,Chân núi,foot of a mountain,N1,ロク,ふもと,19,鹿,しか,deer,Từ trên rừng (林) con hươu (鹿) đi xuống chân núi (麓),0,麗,薦
龍,LONG,Con rồng,"dragon, imperial",N1,"リュウ, リョウ, ロウ",たつ,16,龍,りゅう,dragon,Rồng (龍) bay thẳng đứng (立) lên mặt trăng (月) vào ngày 5 (5) tháng 3 (三),0,懇,籠
懇,KHẨN,Khẩn khoản,"sociable, kind, courteous, hospitable, cordial",N1,コン,ねんご.ろ,17,心,むじなへん,heart,Sâu (豸) mọt không tốt (良) làm trái tim (心) khẩn khoản (懇),0,墾,龍
襲,TẬP,Tập kích,"attack, advance on, succeed to, pile, heap",N1,シュウ,"おそ.う, かさ.ね",22,衣,りゅう,clothes,Tập kích (襲) lúc con rồng (龍) đang mặc y phục (衣),1,籠,寵
聾,LUNG,Điếc,"deafness, deaf person, deafen",N1,ロウ,"ろう.する, つんぼ, みみしい",22,耳,りゅう,ear,Con rồng (龍) tai (耳) bị điếc (聾),0,寵,微
微,VI,Nhỏ bé,"delicate, minuteness, insignificance",N1,ビ,かす.か,13,彳,ぎょうにんべん,step,Lúc bé (微) 2 người (彳) lên núi (山) 1 (一) chân (儿) bị đánh (攵) què,2,聾,徴
烏,Ô,Con quạ,"crow, raven",N1,"ウ, オ","からす, いずくんぞ, なんぞ",10,火,とり,fire,Con quạ (烏) đậu ở cánh cửa (戸) 5 (ち) con bị lửa (灬) đốt đen thui,0,懲,鳩
鵜,ĐÊ,Chim cốc,cormorant,N1,"テイ, ダイ",う,18,鳥,とり,bird,Chim cốc (鵜) là đệ (弟) của các loài chim (鳥),0,鴨,鶴
鷲,THỨU,Đại bàng,eagle,N1,"シュウ, ジュ",わし,23,鳥,とり,bird,Thành tựu (就) săn mồi của chim (鳥) đại bàng (鷲) là giỏi nhất,0,鷹,耕
彗,TUỆ,Sao chổi,"comet, broom",N1,"スイ, エ, ケイ, セイ",ほうき,11,彐,けいがしら,pig snout,Nếu một tháng có hai ngày 3 (三) 1 (丨) thì Em (ヨ) sẽ nhìn thấy sao chổi (彗),0,耗,乙
乙,ẤT,Can ất,"the latter, duplicate, strange, witty, fishhook radical (no. 5)",N1,"オツ, イツ","おと-, きのと",1,乛,おつ,second,Giống hình số 2 ngược,0,彗,乞
乞,KHẤT,Ăn xin,"beg, invite, ask",N1,"コツ, キツ, キ, キケ, コチ",こ.う,3,乛,おつ,second,Người nằm (𠂉) ất (乙) ơ là đang ăn xin (乞),0,乙,迄
鱗,LÂN,Vẩy cá,scales (fish),N1,リン,"うろこ, こけ, こけら",24,魚,うお,fish,Vẩy (鱗) cá (魚) nấu với gạo (米) ăn vào sẽ bị hen suyễn (舛),0,綴,傑
幣,TỆ,Tiền tệ,"cash, bad habit, humble prefix, gift, Shinto offerings of cloth, rope, cut paper",N1,ヘイ,ぬさ,15,巾,はば,"turban, scarf",Tệ (敝) nhất là bán khăn (巾) lấy tiền tệ (幣),0,瞬,弊
桑,TANG,Cây dâu,mulberry,N1,ソウ,くわ,10,木,また,tree,Trồng đi trồng lại 3 lần (又) mới được cây (木) dâu (桑),0,又,綴
蔽,TẾ,Che giấu,"cover, shade, mantle, capsize, be ruined",N1,"ヘイ, ヘツ, フツ","おお.う, おお.い",15,艸,くさかんむり,grass,Cô giáo Thảo (艹) có chuyện tệ (敝) nhất vẫn đang che giấu (蔽),0,弊,瞥
拶,TẠT,Chào hỏi,"be imminent, draw close",N1,サツ,せま.る,9,手,てへん,hand,Tay (扌) tạt qua sông (巛) ta (夕) vẫy chào hỏi (拶),1,巡,璃
禽,CẦM,Gia cầm,"bird, captive, capture",N1,キン,"とり, とりこ",13,禸,ひと,track,Người (人) dùng chiếc li (高) cho gia cầm (禽) uống nước,0,璃,檎
檎,CẤM,Quả táo,apple,N1,"キン, ゴン, ゴ",,17,木,き,tree,Cây (木) gia cầm (禽) thích ăn là táo (檎),0,禽,雛
爽,SẢNG,Sảng khoái,"refreshing, bracing, resonant, sweet, clear",N1,ソウ,"あき.らか, さわ.やか, たがう",11,爻,だい,"mix, twine, cross",Sảng khoái (爽) to (大) lớn khi lương tăng X4 (乂) lần,1,皺,璽
璽,TỈ,Ngọc tỷ,emperor's seal,N1,ジ,,19,玉,たま,jade (king),Dùng 18 (一八) cái khăn (巾) đánh dấu X (乂) gói ngọc (玉) tỷ (璽),0,爽,鬱
姦,GIAN,Gian xảo,"wicked, mischief, seduce, rape, noisy",N1,"カン, ケン","かん.する, かしま.しい, みだら",9,女,おんな,"woman, female",3 người phụ nữ (女) gian xảo (姦),0,黎,晶
膝,TẤT,Đầu gối,"knee, lap",N1,シツ,ひざ,15,肉,つき,meat,Nguyệt (月) leo lên cây (木) người (人) vẫn bị ngập nước (水) đến đầu gối (膝),0,漆,黎
囁,CHIẾP,Thì thầm,"whisper, murmur",N1,ショウ,ささや.く,21,口,くち,"mouth, opening",Miệng (口) ghé vào 3 cái tai (耳) thì thầm (囁),0,晶,琴
琵,TÌ,Đàn tỳ bà,"glissando on strings, lute",N1,"ビ, ヒ",,12,玉,たま,jade (king),2 ông vua (王王) tỉ (比) thí kỹ năng đánh đàn tỳ bà (琵),0,琴,琶
馳,TRÌ,$undefined,Chiêu đãi,N1,"チ, ジ",は.せる,13,馬,,horse,$undefined,0,琶,唸
吠,PHỆ,$undefined,"Sủa, tru, hú",$undefined,"ハイ, ベイ","ほえ.る, ほ.える",7,口,,"mouth, opening",$undefined,0,唸,贅
掻,TÀO,$undefined,"Gãi, cào, chải",$undefined,ソウ,か.く,11,手,,hand,$undefined,0,痒,
圧,ÁP,Áp lực,"pressure, push, overwhelm, oppress, dominate",N2,アツ,"お.す, へ.す, おさ.える, お.さえる",5,⼟,つち,earth,Sườn núi (厂) đè xuống đất (土) tạo ra áp lực (圧),9,吐,粧
血,HUYẾT,Máu,blood,N3,ケツ,ち,6,⾎,ち,blood,Bị cứa (ノ) bởi cái đĩa (皿) nên chảy máu (血),5,給,塩
約,ƯỚC,Giao ước,"promise, approximately, shrink",N3,ヤク,"つづ.まる, つづ.める, つづま.やか",9,,いとへん,thread,Giao ước (約) dệt tơ (糸) không bắt chước (勺),13,的,均
鏡,KÍNH,"Kính, gương","mirror, speculum, barrel-head, round rice-cake offering",N2,キョウ,かがみ,19,,かねへん,"metal, gold, mineral",Tên trộm vàng (金) âm (音) thầm chân chạy (儿) qua cửa kính (鏡),4,境,看
銃,SÚNG,Khẩu súng,"gun, arms",N2,ジュウ,つつ,14,金,かね,"metal, gold",Nhiều tiền (金) sung (充) quá mang đi mua súng (銃),2,充,統
違,VI,Sai lầm,"difference, differ",N2,イ,ちが、ちがう、ちがえる,13,⻌,しんにょう,"road, walk, to advance",Vi (韋) hành đi xa (辶) quá là vi phạm (違),17,両,偉
粧,TRANG,Trang điểm,"cosmetics, adorn (one's person)",N2,ショウ,,12,米,こめ,rice,"Dùng bột gạo (米) chỗ mái hiên (广), ngồi xuống đất (土) để trang điểm (粧)",3,圧,咲
看,KHÁN,Khán giả,"watch over, see",N2,カン,み.る,9,⽬,め,eye,Khán giả (看) vỗ tay (手) mắt (目) xem chăm chú,4,鏡,刑
統,THỐNG,Truyền thống,"overall, relationship, ruling, governing",N2,トウ,す、すべる、すべて,12,,いとへん,thread,Bán tơ (糸) lụa rất sung (充) là truyền thống (統) nhà em rồi,7,銃,融
勇,DŨNG,Dũng cảm,"courage, cheer up, be in high spirits, bravery, heroism",N2,ユウ,いさ、いさむ、いさましい,9,⼒,ちから,power,Không sợ ma (マ) là đàn ông (男) dũng cảm (勇),5,瓶,両
潔,KHIẾT,Thanh khiết,"undefiled, pure, clean, righteous, gallant",N2,ケツ,いさぎよ、いさぎよい,15,⺡,さんずい,water,Dưới nước (氵) ông vua lòi đầu (主) cầm đao (刀) cắt sợi tơ (糸) thanh khiết (潔),7,喫,阜
阜,PHỤ,Tỉnh gifu,"hill, mound, left village radical (no. 170)",N2,"フ, フウ",,8,阜,こざと,"mound, dam (阝 left)",Đóng giả quan (B) lấy 10 (十) miếng đất ở tỉnh Gifu (阜),1,潔,飾
承,THỪA,Thừa nhận,"acquiesce, hear, listen to, be informed, receive",N2,ショウ,うけたまわ、うけたまわる,8,⼿,て,hand,Kết thúc (了) 3 (三) nước (水) thừa nhận (承) lỗi lầm,6,了,捜
了,LIỄU,Kết thúc,"complete, finish",N2,リョウ,,2,⼅,はねぼう,vertical stroke with a hook,Miệng kêu A (ア) là đời kết thúc (了),10,減,承
減,GIẢM,Giảm xuống,"dwindle, decrease, reduce, decline, curtail, get hungry",N2,ゲン,へ、へる、へらす,12,⺡,さんずい,water,Lượng nước (氵) giảm (咸) xuống (減),15,脂,了
渡,ĐỘ,Vượt qua,"transit, ford, ferry, cross, import, deliver, diameter, migrate",N2,ト,わた、わたる、わたす,12,⺡,さんずい,water,Nước (氵) lần (度) này dâng cao phải cố gắng vượt qua (渡),6,捜,盛
盛,THỊNH,Hưng thịnh,"boom, prosper, copulate",N2,セイ、ジョウ,も、さか、もる、さかん、さかんな,11,⽫,さら,"plate, bowl",Thành công (成) chơi xóc đĩa (皿) chỉ có hưng thịnh (盛) trong tù,10,渡,城
城,THÀNH,Thành lũy,castle,N2,ジョウ,しろ,9,,つちへん,earth,Dùng đất (土) xây thành công (成) thành lũy (城),6,盛,剤
武,VÕ,Vũ khí/võ sĩ,"warrior, military, chivalry, arms",N2,ブ、ム,"たけ, たけ.し",8,⽌,とめる,to stop,1 (一) tên giặc (弋) dừng lại (止) giơ vũ khí (武),4,剤,域
域,VỰC,Khuvực,"range, region, limits, stage, level",N2,イキ,,11,,つちへん,earth,Chọn đất (土) khu vực này hoặc (或) khu vực (域) khác,3,武,裁
裁,TÀI,Phánxét,"tailor, judge, decision, cut out (pattern)",N2,サイ,た、さば、たつ、さばく,12,⾐,ころも,clothing,10 (十) y phục (衣) là chứng cứ qua (戈) tài phán xét (裁),7,域,歳
歳,TUẾ,Tuổi,"year-end, age, occasion, opportunity",N2,サイ、セイ,"とし, とせ, よわい",13,⽌,とめる,to stop,Dừng lại (止) đúng giờ Tuất (戌) hỏi chú tiểu (小) bao nhiêu tuổi (歳),6,裁,越
越,VIỆT,Vượtqua,"surpass, cross over, move to, exceed, Vietnam",N2,エツ,こ、こす、こえる,12,,そうにょう,to run,Chạy (走) thi tết Mậu Thân (戊) vượt qua (越) chướng ngại vật,11,歳,劇
叫,KHIẾU,"Kêu, hét","shout, exclaim, yell",N2,キョウ,さけ、さけぶ,6,,くちへん,mouth,Miệng (口) kêu 4 (丩) tiếng như con khiếu (叫),5,劇,尊
臓,TẠNG,Nội tạng,"entrails, viscera, bowels",N2,ゾウ,はらわた,19,,にくづき,"meat, flesh",Nguyệt (月) tàng trữ (蔵) nội tạng (臓) trái phép,2,蔵,壊
飾,SỨC,Trang trí,"decorate, ornament, adorn, embellish",N2,ショク,"かざ.る, かざ.り",13,食,しょくへん,"eat, food",Ăn (食) còn nằm (𠂉) quàng khăn (巾) để trang trí (飾) nữa!,8,阜,脂
偉,VĨ,Vĩ nhân,"admirable, greatness, remarkable, conceited, famous, excellent",N2,イ,えら、えらい,12,⺅,にんべん,person ,Người (亻) đi vi (韋) hành là vĩ nhân (偉),6,違,衛
脂,CHI,Mỡ,"fat, grease, tallow, lard, rosin, gum, tar",N2,シ,あぶら,10,,にくづき,"meat, flesh",Cơ thể (月) chỉ (旨) toàn mỡ (脂),5,飾,減
帳,TRƯỚNG,Sổ tay,"notebook, account book, album, curtain, veil, net, tent",N2,チョウ,とばり,11,,はばへん,cloth,Khăn (巾) dài (長) để bọc sổ tay (帳),7,張,髪
尊,TÔN,Tôn kính,"revered, valuable, precious, noble, exalted",N2,ソン,たっとい、たっとぶ、とうとい、とうとぶ、たっと、とうと,12,⼨,すん,"inch, (2.25 cm)",Uống hết 2 bình rượu (酋) thốn (寸) đánh mất sự tôn kính (尊),6,叫,得
勢,THẾ,Thế lực,"forces, energy, military strength",N2,セイ,いきお、いきおい,13,⼒,ちから,power,Tiên sinh (先) chân đất (土) đi trong vòng tròn (丸) cần lực (力) là thế lực (勢),5,得,換
噴,PHÚN,Phun ra,"erupt, spout, emit, flush out",N2,フン,ふ.く,15,口,くち,"mouth, opening",Từ miệng (口) phần (賁) thức ăn bị phun ra (噴),5,壊,張
壊,HOẠI,Phá hoại,"demolition, break, destroy",N2,カイ,こわ、こわす、こわれる,16,,つちへん,earth,Trên đất (土) 10 (十) cái võng (皿) treo y phục (衣) bị phá hoại (壊),6,臓,噴
塾,THỤC,Tư thục,"cram school, private school",N2,ジュク,,14,土,つち,earth,Hưởng (享) tròn (丸) vẹn đất (土) trường tư thục (塾),3,骨,般
髪,PHÁT,Tóc,hair of the head,N2,ハツ,かみ,14,⾽,かみかんむり,long hair,Tóc (髪) dài (長) là tóc (彡) bạn (友),8,帳,骨
撃,KÍCH,Công kích,"beat, attack, defeat, conquer",N2,ゲキ,う.つ,15,手,くるま,hand,Công kích (撃) xe (車) kẻ thù (殳) bằng tay (手) không,6,殿,殺
批,PHÊ,Phê bình,"criticism, strike",N2,ヒ,,7,⺘,てへん,hand,Tay (扌) tỉ (匕) phê bình (批),5,比,需
比,TỈ,So sánh,"compare, race, ratio, Philippines",N2,ヒ,くらべる、くら,4,⽐,くらべる,to compare,Tỉ (比) càm 2 chiếc thìa (匕) để so sánh,7,殺,批
拒,CỰ,Chống cự,"repel, refuse, reject, decline",N2,"キョ, ゴ",こば.む,8,手,てへん,hand,Tay (扌) to (巨) chống cự (拒) tốt,5,換,距
剤,TỄ,Dịch tễ,"dose, medicine, drug",N2,"ザイ, スイ, セイ","かる, けず.る",10,刀,せい,"knife, sword",Nước Tề (斉) dùng đao (刂) ngăn ngừa dịch tễ (剤),5,城,武
触,XÚC,"Tiếp xúc, sờ","contact, touch, feel, hit, proclaim, announce, conflict",N2,ショク,ふ、さわ、ふれる、さわる,13,,つのへん,"horn, corner",Trong góc (角) có côn trùng (虫) cần tránh tiếp xúc (触),4,秩,鹿
傾,KHUYNH,Khuynh hướng,"lean, incline, tilt, trend, wane, sink, ruin, bias",N2,ケイ,かたむ、かし、かたむける、かたむく、かしげる,13,⺅,にんべん,person ,Người (亻) trong khoảnh khắc (頃) đã tạo ra khuynh hướng (傾),6,端,秩
殺,SÁT,Sáthại,"kill, murder, butcher, slice off, split, diminish, reduce, spoil",N2,サツ、サイ、セツ,ころ、ころす、ころし,10,⽎,るまた,"lance shaft, action",Mê (メ) cây (木) của kẻ thù (殳) nên bị sát hại (殺),5,撃,比
徹,TRIỆT,Triệt để,"penetrate, clear, pierce, strike home, sit up (all night)",N2,テツ,,15,彳,ぎょうにんべん,step,2 người (彳) giáo dục (育) bằng cách đánh (攵) đập không phải là cách triệt để (徹),8,鹿,拝
拝,BÁI,Khấn bái,"worship, adore, pray to",N2,ハイ,おが、おがむ,8,⺘,てへん,hand,Tay (扌) 4 (亖) lạy 1 (丨) lần khấn bái (拝),7,徹,双
鹿,LỘC,Con hươu,deer,N2,ロク,しか,11,⿅,しか,deer,Từ mái hiên (广) ra hàng rào (井) gặp tỉ (比) con hươu (鹿),2,触,徹
